AREA,DEMIX_TILE,DEM,REF_DEM,GRID_FULL,NUM_PITS,NUM_PEAKS,DIFF_PITS,DIFF_PEAKS
la_palma,N28UW018B,COP,dtm-2m_reinterpolated_1sec_point,93.51,25,2,7,-72
la_palma,N28VW018B,COP,dtm-2m_reinterpolated_1sec_point,100.00,5,5,-13,-69
la_palma,N28XW018A,COP,dtm-2m_reinterpolated_1sec_point,96.75,530,8,512,-66
la_palma,N28XW018B,COP,dtm-2m_reinterpolated_1sec_point,100.00,20,27,2,-47
la_palma,N28UW018B,COP,dsm_5m_point,93.51,25,2,10,-61
la_palma,N28VW018B,COP,dsm_5m_point,100.00,5,5,-10,-58
la_palma,N28XW018A,COP,dsm_5m_point,96.75,530,8,515,-55
la_palma,N28XW018B,COP,dsm_5m_point,100.00,20,27,5,-36
la_palma,N28UW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,0,1,-18,-73
la_palma,N28VW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,2,7,-16,-67
la_palma,N28XW018A,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,16,7,-2,-67
la_palma,N28XW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,20,28,2,-46
la_palma,N28UW018B,SRTM_egm2008,dsm_5m_point,93.51,0,1,-15,-62
la_palma,N28VW018B,SRTM_egm2008,dsm_5m_point,100.00,2,7,-13,-56
la_palma,N28XW018A,SRTM_egm2008,dsm_5m_point,96.75,16,7,1,-56
la_palma,N28XW018B,SRTM_egm2008,dsm_5m_point,100.00,20,28,5,-35
la_palma,N28UW018B,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,93.51,1,7,-20,-69
la_palma,N28VW018B,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,100.00,6,9,-15,-67
la_palma,N28XW018A,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,96.75,10,9,-11,-67
la_palma,N28XW018B,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,100.00,32,57,11,-19
la_palma,N28UW018B,ALOS_egm2008,dsm_5m_area,93.51,1,7,-13,-49
la_palma,N28VW018B,ALOS_egm2008,dsm_5m_area,100.00,6,9,-8,-47
la_palma,N28XW018A,ALOS_egm2008,dsm_5m_area,96.75,10,9,-4,-47
la_palma,N28XW018B,ALOS_egm2008,dsm_5m_area,100.00,32,57,18,1
la_palma,N28UW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,2,1,-16,-73
la_palma,N28VW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,1,5,-17,-69
la_palma,N28XW018A,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,17,9,-1,-65
la_palma,N28XW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,34,36,16,-38
la_palma,N28UW018B,NASA_egm2008,dsm_5m_point,93.51,2,1,-13,-62
la_palma,N28VW018B,NASA_egm2008,dsm_5m_point,100.00,1,5,-14,-58
la_palma,N28XW018A,NASA_egm2008,dsm_5m_point,96.75,17,9,2,-54
la_palma,N28XW018B,NASA_egm2008,dsm_5m_point,100.00,34,36,19,-27
la_palma,N28UW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,2,0,-16,-74
la_palma,N28VW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,3,3,-15,-71
la_palma,N28XW018A,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,9,6,-9,-68
la_palma,N28XW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,14,21,-4,-53
la_palma,N28UW018B,ASTER_egm2008,dsm_5m_point,93.51,2,0,-13,-63
la_palma,N28VW018B,ASTER_egm2008,dsm_5m_point,100.00,3,3,-12,-60
la_palma,N28XW018A,ASTER_egm2008,dsm_5m_point,96.75,9,6,-6,-57
la_palma,N28XW018B,ASTER_egm2008,dsm_5m_point,100.00,14,21,-1,-42
la_palma,N28UW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,93.51,33,3,15,-71
la_palma,N28VW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,100.00,4,12,-14,-62
la_palma,N28XW018A,FABDEM,dtm-2m_reinterpolated_1sec_point,96.75,570,6,552,-68
la_palma,N28XW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,100.00,17,23,-1,-51
la_palma,N28UW018B,FABDEM,dsm_5m_point,93.51,33,3,18,-60
la_palma,N28VW018B,FABDEM,dsm_5m_point,100.00,4,12,-11,-51
la_palma,N28XW018A,FABDEM,dsm_5m_point,96.75,570,6,555,-57
la_palma,N28XW018B,FABDEM,dsm_5m_point,100.00,17,23,2,-40
